Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Devon Cajuste*\devon-cajuste-1,Stanford,Pac-12,10,28,642,22.9,5,0,0,,0,28,642,22.9,5
2,Tevin Reese*\tevin-reese-1,Baylor,Big 12,8,38,867,22.8,8,0,0,,0,38,867,22.8,8
3,Sammie Coates*\sammie-coates-1,Auburn,SEC,13,42,902,21.5,7,0,0,,0,42,902,21.5,7
4,Quintin Payton\quintin-payton-1,North Carolina State,ACC,10,23,481,20.9,3,0,0,,0,23,481,20.9,3
5,Breshad Perriman*\breshad-perriman-1,UCF,American,12,39,811,20.8,4,0,0,,0,39,811,20.8,4
6,Mario Alford\mario-alford-1,West Virginia,Big 12,9,27,552,20.4,2,5,47,9.4,0,32,599,18.7,2
7,Mike Evans*\mike-evans-4,Texas A&M,SEC,13,69,1394,20.2,12,0,0,,0,69,1394,20.2,12
8,J.J. Nelson\jamarcus-nelson-1,UAB,CUSA,10,42,846,20.1,8,2,22,11.0,0,44,868,19.7,8
9,Martavis Bryant*\martavis-bryant-1,Clemson,ACC,13,42,828,19.7,7,0,0,,0,42,828,19.7,7
10,Odell Beckham Jr.*\odell-beckham-jr-1,LSU,SEC,13,59,1152,19.5,8,5,58,11.6,0,64,1210,18.9,8
11,Ronnie Moore*\ronnie-moore-3,Bowling Green State,MAC,14,28,547,19.5,7,14,138,9.9,0,42,685,16.3,7
12,Antwan Goodley*\antwan-goodley-1,Baylor,Big 12,13,71,1339,18.9,13,6,33,5.5,0,77,1372,17.8,13
13,Dres Anderson\dres-anderson-1,Utah,Pac-12,12,53,1002,18.9,7,8,30,3.8,1,61,1032,16.9,8
14,Shavarez Smith\shavarez-smith-1,South Alabama,Sun Belt,12,50,940,18.8,6,0,0,,0,50,940,18.8,6
15,Allen Hurns*\allen-hurns-1,Miami (FL),ACC,13,62,1162,18.7,6,1,13,13.0,0,63,1175,18.7,6
16,Kelvin Benjamin*\kelvin-benjamin-1,Florida State,ACC,14,54,1011,18.7,15,0,0,,0,54,1011,18.7,15
