,,,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scrimmage,Scrimmage,Scrimmage,Scrimmage
Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Geraud Sanders*\geraud-sanders-1,Air Force,MWC,13,30,746,24.9,7,2,-36,-18.0,0,32,710,22.2,7
2,Simi Fehoko\simi-fehoko-1,Stanford,Pac-12,9,24,566,23.6,6,0,0,,0,24,566,23.6,6
3,CeeDee Lamb*\ceedee-lamb-1,Oklahoma,Big 12,13,62,1327,21.4,14,9,20,2.2,1,71,1347,19.0,15
4,Ja'Marr Chase*\jamarr-chase-1,LSU,SEC,14,84,1780,21.2,20,1,5,5.0,0,85,1785,21.0,20
5,Marquez Callaway*\marquez-callaway-1,Tennessee,SEC,13,30,635,21.2,6,0,0,,0,30,635,21.2,6
6,Kendall Parham*\kendall-parham-1,UAB,CUSA,11,29,608,21.0,6,1,11,11.0,0,30,619,20.6,6
7,Tarique Milton*\tarique-milton-1,Iowa State,Big 12,13,35,722,20.6,3,0,0,,0,35,722,20.6,3
8,Rashod Bateman*\rashod-bateman-1,Minnesota,Big Ten,13,60,1219,20.3,11,0,0,,0,60,1219,20.3,11
9,Dyami Brown*\dyami-brown-1,North Carolina,ACC,12,51,1034,20.3,12,1,2,2.0,0,52,1036,19.9,12
10,Frank Darby*\frank-darby-1,Arizona State,Pac-12,12,31,616,19.9,8,0,0,,0,31,616,19.9,8
11,Tamorrion Terry*\tamorrion-terry-1,Florida State,ACC,13,60,1188,19.8,9,4,9,2.3,0,64,1197,18.7,9
12,Tee Higgins*\tee-higgins-1,Clemson,ACC,15,59,1167,19.8,13,1,36,36.0,1,60,1203,20.1,14
13,Shane Hooks*\shane-hooks-1,Ohio,MAC,10,26,515,19.8,5,0,0,,0,26,515,19.8,5
14,Nico Collins*\nico-collins-1,Michigan,Big Ten,12,37,729,19.7,7,0,0,,0,37,729,19.7,7
