Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,College/Univ,
1,2019,1,18,Garrett Bradbury\BradGa00,C,24,MIN,2019,2019,0,0,1,8,16,16,North Carolina St.,College Stats
2,2019,2,44,Elgton Jenkins\JenkEl00,C,23,GNB,2019,2019,0,0,1,7,16,14,Mississippi St.,College Stats
3,2019,2,48,Erik McCoy\McCoEr01,C,22,NOR,2019,2019,0,0,1,7,16,16,Texas A&M,College Stats
4,2019,6,179,Lamont Gaillard\GailLa00,C,23,ARI,,,0,0,0,,,,Georgia,College Stats
5,2019,7,246,Javon Patterson\PattJa00,C,22,IND,,,0,0,0,,,,Mississippi,College Stats
6,2018,1,20,Frank Ragnow\RagnFr00,C,22,DET,2018,2019,0,0,2,13,31,31,Arkansas,College Stats
7,2018,1,21,Billy Price\PricBi01,C,23,CIN,2018,2019,0,0,1,9,26,18,Ohio St.,College Stats
8,2018,2,33,Austin Corbett\CorbAu00,C,23,CLE,2018,2019,0,0,1,4,22,8,Nevada,College Stats
9,2018,2,39,James Daniels\DaniJa01,C,20,CHI,2018,2019,0,0,2,11,32,26,Iowa,College Stats
10,2018,3,97,Mason Cole\ColeMa02,C,22,ARI,2018,2019,0,0,1,6,32,18,Michigan,College Stats
11,2018,4,111,Brian Allen\AlleBr02,C,22,LAR,2018,2019,0,0,1,5,22,9,Michigan St.,College Stats
12,2018,5,155,Scott Quessenberry\QuesSc00,C,23,LAC,2018,2019,0,0,1,6,31,9,UCLA,College Stats
13,2018,6,215,Bradley Bozeman\BozeBr00,C,23,BAL,2018,2019,0,0,1,11,30,17,Alabama,College Stats
14,2018,7,245,Will Clapp\ClapWi00,C,22,NOR,2018,2019,0,0,0,3,17,4,LSU,College Stats
15,2017,2,58,Ethan Pocic\PociEt00,C,22,SEA,2017,2019,0,0,0,8,30,16,LSU,College Stats
16,2017,3,70,Pat Elflein\ElflPa00,C,23,MIN,2017,2019,0,0,3,21,43,42,Ohio St.,College Stats
17,2017,5,176,JJ Dielman\DielJJ00,C,23,CIN,,,0,0,0,,,,Utah,College Stats
18,2017,6,199,Chase Roullier\RoulCh00,C,24,WAS,2017,2019,0,0,3,14,43,37,Wyoming,College Stats
19,2017,6,212,Kofi Amichia\AmicKo00,C,23,GNB,,,0,0,0,,,,South Florida,College Stats
20,2017,7,243,Kyle Fuller\FullKy01,C,23,HOU,2017,2018,0,0,0,1,11,2,Baylor,College Stats
