Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
1,2019,1,2,Nick Bosa\BosaNi00,DE,21,SFO,2019,2019,0,1,1,11,16,14,1,9.0,Ohio St.,College Stats
2,2019,1,4,Clelin Ferrell\FerrCl00,DE,22,OAK,2019,2019,0,0,1,7,15,15,,4.5,Clemson,College Stats
3,2019,1,16,Brian Burns\BurnBr00,DE,21,CAR,2019,2019,0,0,0,4,16,5,,7.5,Florida St.,College Stats
4,2019,1,26,Montez Sweat\SweaMo00,DE,23,WAS,2019,2019,0,0,1,6,16,16,,7.0,Mississippi St.,College Stats
5,2019,1,29,L.J. Collier\CollLJ00,DE,23,SEA,2019,2019,0,0,0,1,11,0,,,TCU,College Stats
6,2019,3,65,Zach Allen\AlleZa01,DE,22,ARI,2019,2019,0,0,0,1,4,1,,,Boston Col.,College Stats
7,2019,3,77,Chase Winovich\WinoCh00,DE,24,NWE,2019,2019,0,0,0,3,16,0,,5.5,Michigan,College Stats
8,2019,3,85,Jaylon Ferguson\FergJa02,DE,23,BAL,2019,2019,0,0,1,6,14,9,,2.5,Louisiana Tech,College Stats
9,2019,3,95,Oshane Ximines\XimiOs00,DE,22,NYG,2019,2019,0,0,0,2,16,2,,4.5,Old Dominion,College Stats
10,2019,4,106,Maxx Crosby\CrosMa00,DE,22,OAK,2019,2019,0,0,1,6,16,10,,10.0,East. Michigan,College Stats
11,2019,4,107,Anthony Nelson\NelsAn01,DE,22,TAM,2019,2019,0,0,0,1,9,1,,,Iowa,College Stats
12,2019,4,117,Austin Bryant\BryaAu00,DE,22,DET,2019,2019,0,0,0,0,4,0,,,Clemson,College Stats
13,2019,4,135,John Cominsky\ComiJo00,DE,23,ATL,2019,2019,0,0,0,1,10,0,,0.5,Charleston (WV),
14,2019,4,138,Shareef Miller\MillSh00,DE,22,PHI,2019,2019,0,0,0,0,1,0,,,Penn St.,College Stats
15,2019,5,161,Charles Omenihu\OmenCh00,DE,22,HOU,2019,2019,0,0,0,1,14,0,,3.0,Texas,College Stats
16,2019,5,165,Joe Jackson\JackJo02,DE,22,DAL,2019,2019,0,0,0,0,5,0,,,Miami (FL),College Stats
17,2019,6,175,Sutton Smith\SmitSu00,DE,23,PIT,,,0,0,0,,,,,,Northern Illinois,College Stats
18,2019,6,199,Gerri Green\GreeGe00,DE,23,IND,,,0,0,0,,,,,,Mississippi St.,College Stats
19,2019,7,225,Darryl Johnson\JohnDa10,DE,22,BUF,2019,2019,0,0,0,2,16,0,,1.0,North Carolina A&T,
20,2019,7,229,P.J. Johnson\JohnPJ00,DE,23,DET,,,0,0,0,,,,,,Arizona,College Stats
21,2019,7,230,Quinton Bell\BellQu00,DE,23,OAK,,,0,0,0,,,,,,Prairie View,College Stats
22,2019,7,241,Jalen Jelks\JelkJa00,DE,23,DAL,,,0,0,0,,,,,,Oregon,College Stats
23,2019,7,249,Michael Dogbe\DogbMi00,DE,23,ARI,2019,2019,0,0,0,0,8,0,,,Temple,College Stats
24,2019,7,253,Jordan Brailford\BraiJo00,DE,23,WAS,,,0,0,0,,,,,,Oklahoma St.,College Stats
25,2018,1,5,Bradley Chubb\ChubBr00,DE,22,DEN,2018,2019,0,0,1,10,20,20,,13.0,North Carolina St.,College Stats
26,2018,1,14,Marcus Davenport\DaveMa00,DE,22,NOR,2018,2019,0,0,1,7,26,13,,10.5,Texas-San Antonio,College Stats
27,2018,2,46,Breeland Speaks\SpeaBr00,DE,22,KAN,2018,2018,0,0,0,3,16,4,,1.5,Mississippi,College Stats
28,2018,2,64,Tyquan Lewis\LewiTy00,DE,23,IND,2018,2019,0,0,0,4,17,6,,2.0,Ohio St.,College Stats
29,2018,3,66,Lorenzo Carter\CartLo01,DE,22,NYG,2018,2019,0,0,1,7,30,14,,8.5,Georgia,College Stats
30,2018,3,67,Chad Thomas\ThomCh06,DE,22,CLE,2018,2019,0,0,0,5,20,8,,4.0,Miami (FL),College Stats
31,2018,3,77,Sam Hubbard\HubbSa00,DE,23,CIN,2018,2019,0,0,1,10,31,15,,14.5,Ohio St.,College Stats
32,2018,3,87,Arden Key\KeyxAr00,DE,22,OAK,2018,2019,0,0,1,5,23,10,,3.0,LSU,College Stats
33,2018,4,102,Jalyn Holmes\HolmJa01,DE,22,MIN,2018,2019,0,0,0,1,11,0,,1.0,Ohio St.,College Stats
34,2018,4,114,Da'Shawn Hand\HandDa00,DE,22,DET,2018,2019,0,0,1,6,16,10,,3.0,Alabama,College Stats
35,2018,4,116,Dorance Armstrong\ArmsDo00,DE,21,DAL,2018,2019,0,0,0,4,30,1,,2.5,Kansas,College Stats
36,2018,4,130,Josh Sweat\SweaJo00,DE,21,PHI,2018,2019,0,0,0,3,25,0,,4.0,Florida St.,College Stats
37,2018,4,135,John Franklin-Myers\FranJo02,DE,21,LAR,2018,2018,0,0,0,1,16,0,,2.0,S.F. Austin,
38,2018,5,158,Andrew Brown\BrowAn05,DE,22,CIN,2019,2019,0,0,0,2,14,1,,,Virginia,College Stats
