Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
1,2019,1,3,Quinnen Williams\WillQu00,DT,21,NYJ,2019,2019,0,0,1,5,13,9,,2.5,Alabama,College Stats
2,2019,1,9,Ed Oliver\OlivEd00,DT,21,BUF,2019,2019,0,0,0,6,16,7,,5.0,Houston,College Stats
3,2019,1,13,Christian Wilkins\WilkCh00,DT,23,MIA,2019,2019,0,0,1,5,16,14,,2.0,Clemson,College Stats
4,2019,1,17,Dexter Lawrence\LawrDe03,DT,21,NYG,2019,2019,0,0,1,7,16,16,,2.5,Clemson,College Stats
5,2019,1,19,Jeffery Simmons\SimmJe01,DT,22,TEN,2019,2019,0,0,1,4,9,7,,2.0,Mississippi St.,College Stats
6,2019,1,28,Jerry Tillery\TillJe00,DT,22,LAC,2019,2019,0,0,0,2,15,3,,2.0,Notre Dame,College Stats
7,2019,2,58,Trysten Hill\HillTr00,DT,21,DAL,2019,2019,0,0,0,1,7,0,,,Central Florida,College Stats
8,2019,3,71,Dre'Mont Jones\JoneDr00,DT,22,DEN,2019,2019,0,0,0,2,14,1,1,3.5,Ohio St.,College Stats
9,2019,3,84,Khalen Saunders\SaunKh00,DT,23,KAN,2019,2019,0,0,0,3,12,4,,1.0,West. Illinois,
10,2019,4,125,Renell Wren\WrenRe00,DT,23,CIN,2019,2019,0,0,0,1,11,2,,,Arizona St.,College Stats
11,2019,4,134,Greg Gaines\GainGr00,DT,23,LAR,2019,2019,0,0,0,1,10,0,,0.5,Washington,College Stats
12,2019,5,150,Kingsley Keke\KekeKi00,DT,22,GNB,2019,2019,0,0,0,1,14,0,,,Texas A&M,College Stats
13,2019,5,159,Byron Cowart\CowaBy00,DT,23,NWE,2019,2019,0,0,0,1,5,0,,,Maryland,College Stats
14,2019,5,160,Daylon Mack\MackDa00,DT,22,BAL,2019,2019,0,0,0,0,1,0,,,Texas A&M,College Stats
15,2019,6,190,Armon Watts\WattAr01,DT,23,MIN,2019,2019,0,0,0,1,7,1,,1.5,Arkansas,College Stats
16,2019,6,192,Isaiah Buggs\BuggIs00,DT,23,PIT,2019,2019,0,0,0,1,9,0,,,Alabama,College Stats
17,2019,6,209,Demarcus Christmas\ChriDe01,DT,24,SEA,,,0,0,0,,,,,,Florida St.,College Stats
18,2019,7,215,Terry Beckner\BeckTe00,DT,22,TAM,,,0,0,0,,,,,,Missouri,College Stats
19,2019,7,235,Dontavius Russell\RussDo00,DT,23,JAX,2019,2019,0,0,0,0,3,0,,,Auburn,College Stats
20,2019,7,242,Cortez Broughton\BrouCo00,DT,23,LAC,2019,2019,0,0,0,0,2,0,,,Cincinnati,College Stats
21,2019,7,245,Chris Slayton\SlayCh00,DT,23,NYG,,,0,0,0,,,,,,Syracuse,College Stats
22,2018,1,12,Vita Vea\VeaxVi00,DT,23,TAM,2018,2019,0,0,1,11,29,24,,5.5,Washington,College Stats
23,2018,1,13,Da'Ron Payne\PaynDa00,DT,21,WAS,2018,2019,0,0,2,12,31,25,,7.0,Alabama,College Stats
24,2018,1,29,Taven Bryan\BryaTa00,DT,22,JAX,2018,2019,0,0,1,6,32,9,,3.0,Florida,College Stats
