Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds,TD,College/Univ,
1,2019,1,8,T.J. Hockenson\HockTJ00,TE,22,DET,2019,2019,0,0,0,3,12,7,,,,32,367,2,Iowa,College Stats
2,2019,1,20,Noah Fant\FantNo00,TE,21,DEN,2019,2019,0,0,1,4,16,11,3,-12,0,40,562,3,Iowa,College Stats
3,2019,2,50,Irv Smith\SmitIr01,TE,21,MIN,2019,2019,0,0,0,3,16,7,,,,36,311,2,Alabama,College Stats
4,2019,2,52,Drew Sample\SampDr00,TE,23,CIN,2019,2019,0,0,0,0,9,2,,,,5,30,0,Washington,College Stats
5,2019,3,69,Josh Oliver\OlivJo00,TE,22,JAX,2019,2019,0,0,0,0,4,1,,,,3,15,0,San Jose St.,College Stats
6,2019,3,75,Jace Sternberger\SterJa00,TE,23,GNB,2019,2019,0,0,0,0,6,1,,,,,,,Texas A&M,College Stats
7,2019,3,86,Kahale Warring\WarrKa00,TE,22,HOU,,,0,0,0,,,,,,,,,,San Diego St.,College Stats
8,2019,3,96,Dawson Knox\KnoxDa00,TE,22,BUF,2019,2019,0,0,1,3,15,11,1,9,0,28,388,2,Mississippi,College Stats
9,2019,4,121,Trevon Wesco\WescTr00,TE,23,NYJ,2019,2019,0,0,0,0,16,1,1,2,0,2,47,0,West Virginia,College Stats
10,2019,4,137,Foster Moreau\MoreFo00,TE,22,OAK,2019,2019,0,0,1,1,13,7,,,,21,174,5,LSU,College Stats
11,2019,5,141,Zach Gentry\GentZa00,TE,22,PIT,2019,2019,0,0,0,0,4,0,,,,1,4,0,Michigan,College Stats
12,2019,6,176,Kaden Smith\SmitKa00,TE,22,SFO,2019,2019,0,0,0,2,9,6,,,,31,268,3,Stanford,College Stats
13,2019,7,224,Isaac Nauta\NautIs00,TE,22,DET,2019,2019,0,0,0,0,6,0,,,,2,13,0,Georgia,College Stats
14,2019,7,228,Tommy Sweeney\SweeTo00,TE,24,BUF,2019,2019,0,0,0,1,6,1,,,,8,114,0,Boston Col.,College Stats
15,2019,7,231,Alize Mack\MackAl00,TE,22,NOR,,,0,0,0,,,,,,,,,,Notre Dame,College Stats
16,2019,7,254,Caleb Wilson\WilsCa00,TE,23,ARI,,,0,0,0,,,,,,,,,,UCLA,College Stats
17,2018,1,25,Hayden Hurst\HursHa00,TE,25,BAL,2018,2019,0,0,0,6,28,4,1,0,0,43,512,3,South Carolina,College Stats
18,2018,2,42,Mike Gesicki\GesiMi00,TE,22,MIA,2018,2019,0,0,0,6,32,12,,,,73,772,5,Penn St.,College Stats
19,2018,2,49,Dallas Goedert\GoedDa00,TE,23,PHI,2018,2019,0,0,2,8,31,17,,,,91,941,9,South Dakota St.,
20,2018,3,86,Mark Andrews\AndrMa00,TE,22,BAL,2018,2019,0,1,0,17,31,7,,,,98,1404,13,Oklahoma,College Stats
21,2018,3,98,Jordan Akins\AkinJo00,TE,26,HOU,2018,2019,0,0,1,6,32,15,,,,53,643,2,Central Florida,College Stats
22,2018,4,101,Ian Thomas\ThomIa00,TE,22,CAR,2018,2019,0,0,0,4,32,9,,,,52,469,3,Indiana,College Stats
23,2018,4,107,Chris Herndon\HernCh00,TE,22,NYJ,2018,2019,0,0,1,4,17,12,,,,40,509,4,Miami (FL),College Stats
24,2018,4,120,Will Dissly\DissWi00,TE,22,SEA,2018,2019,0,0,1,4,10,10,1,7,0,31,418,6,Washington,College Stats
25,2018,4,123,Durham Smythe\SmytDu00,TE,22,MIA,2018,2019,0,0,1,0,31,16,,,,13,115,0,Notre Dame,College Stats
26,2018,4,137,Dalton Schultz\SchuDa00,TE,22,DAL,2018,2019,0,0,0,1,27,7,,,,13,122,0,Stanford,College Stats
27,2018,5,156,Troy Fumagalli\FumaTr00,TE,23,DEN,2019,2019,0,0,0,0,11,5,,,,6,38,1,Wisconsin,College Stats
28,2018,5,157,Tyler Conklin\ConkTy00,TE,23,MIN,2018,2019,0,0,0,2,31,4,,,,13,135,0,Central Michigan,College Stats
29,2018,5,165,Jaylen Samuels\SamuJa00,TE,22,PIT,2018,2019,0,0,0,6,28,7,122,431,1,73,504,4,North Carolina St.,College Stats
30,2018,6,211,Jordan Thomas\ThomJo05,TE,22,HOU,2018,2019,0,0,1,2,21,12,,,,21,223,4,Mississippi St.,College Stats
31,2018,7,250,Ryan Izzo\IzzoRy00,TE,22,NWE,2019,2019,0,0,0,1,6,4,,,,6,114,1,Florida St.,College Stats
32,2017,1,19,O.J. Howard\HowaO.00,TE,22,TAM,2017,2019,0,0,3,11,38,36,,,,94,1456,12,Alabama,College Stats
33,2017,1,23,Evan Engram\EngrEv00,TE,23,NYG,2017,2019,0,0,3,13,34,25,7,57,0,153,1766,12,Mississippi,College Stats
34,2017,1,29,David Njoku\NjokDa00,TE,21,CLE,2017,2019,0,0,1,7,36,20,1,1,0,93,1066,9,Miami (FL),College Stats
35,2017,2,44,Gerald Everett\EverGe00,TE,23,LAR,2017,2019,0,0,0,9,45,4,4,29,0,86,972,7,South Alabama,College Stats
36,2017,2,45,Adam Shaheen\ShahAd00,TE,22,CHI,2017,2019,0,0,1,2,27,13,,,,26,249,4,Ashland,
37,2017,3,100,Jonnu Smith\SmitJo01,TE,22,TEN,2017,2019,0,0,3,7,45,39,4,78,0,73,854,8,Florida International,College Stats
38,2017,4,127,Michael Roberts\RobeMi01,TE,23,DET,2017,2018,0,0,0,1,23,5,,,,13,146,3,Toledo,College Stats
39,2017,5,145,Jake Butt\ButtJa00,TE,22,DEN,2018,2018,0,0,0,1,3,3,,,,8,85,0,Michigan,College Stats
40,2017,5,146,George Kittle\KittGe00,TE,23,SFO,2017,2019,1,2,2,24,45,37,6,32,0,216,2945,12,Iowa,College Stats
41,2017,5,150,Jordan Leggett\LeggJo00,TE,22,NYJ,2018,2018,0,0,0,1,15,4,,,,14,114,1,Clemson,College Stats
42,2017,5,154,Jeremy Sprinkle\SpriJe00,TE,23,WAS,2017,2019,0,0,1,2,43,27,,,,33,295,3,Arkansas,College Stats
43,2017,5,174,Eric Saubert\SaubEr00,TE,23,ATL,2017,2019,0,0,0,0,32,1,,,,7,69,0,Drake,
44,2017,6,201,Bucky Hodges\HodgBu00,TE,22,MIN,,,0,0,0,,,,,,,,,,Virginia Tech,College Stats
45,2017,7,251,Mason Schreck\SchrMa00,TE,23,CIN,2018,2019,0,0,0,0,8,0,,,,,,,Buffalo,College Stats
46,2016,2,35,Hunter Henry\HenrHu00,TE,21,SDG,2016,2019,0,0,3,13,41,35,,,,136,1709,17,Arkansas,College Stats
47,2016,3,81,Austin Hooper\HoopAu00,TE,21,ATL,2016,2019,0,2,1,19,59,28,,,,214,2244,16,Stanford,College Stats
