Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,Stephen Hill*\stephen-hill-1,Georgia Tech,ACC,13,28,820,29.3,5,4,29,7.3,0,32,849,26.5,5
2,Jalen Saunders\jalen-saunders-1,Fresno State,WAC,13,50,1065,21.3,12,8,91,11.4,2,58,1156,19.9,14
3,Junior Hemingway*\junior-hemingway-1,Michigan,Big Ten,13,34,699,20.6,4,,,,,34,699,20.6,4
4,Zack Kauth*\zack-kauth-1,Air Force,MWC,13,31,620,20.0,5,,,,,31,620,20.0,5
5,Donavon Kemp\donavon-kemp-1,UTEP,CUSA,12,23,456,19.8,1,,,,,23,456,19.8,1
6,Patrick Edwards*\patrick-edwards-1,Houston,CUSA,14,89,1752,19.7,20,2,6,3.0,0,91,1758,19.3,20
7,Coby Fleener*\coby-fleener-1,Stanford,Pac-12,13,34,667,19.6,10,,,,,34,667,19.6,10
8,Jordan Matthews*\jordan-matthews-1,Vanderbilt,SEC,13,41,778,19.0,5,,,,,41,778,19.0,5
9,Bernard Reedy*\bernard-reedy-1,Toledo,MAC,13,40,758,19.0,9,4,40,10.0,0,44,798,18.1,9
10,Titus Davis\titus-davis-1,Central Michigan,MAC,12,40,751,18.8,8,2,13,6.5,0,42,764,18.2,8
11,Darryl Surgent*\darryl-surgent-1,Louisiana,Sun Belt,13,28,518,18.5,6,3,26,8.7,1,31,544,17.5,7
12,Gerell Robinson*\gerell-robinson-1,Arizona State,Pac-12,13,77,1397,18.1,7,,,,,77,1397,18.1,7
13,Nelson Rosario*\nelson-rosario-1,UCLA,Pac-12,14,64,1161,18.1,5,,,,,64,1161,18.1,5
14,Stedman Bailey*\stedman-bailey-1,West Virginia,Big East,13,72,1279,17.8,12,,,,,72,1279,17.8,12
15,Taveon Rogers\taveon-rogers-1,New Mexico State,WAC,12,59,1048,17.8,9,1,-10,-10.0,0,60,1038,17.3,9
16,Tommy Streeter\tommy-streeter-1,Miami (FL),ACC,12,46,811,17.6,8,,,,,46,811,17.6,8
17,Jaz Reynolds*\jaz-reynolds-1,Oklahoma,Big 12,10,41,715,17.4,5,,,,,41,715,17.4,5
18,Javone Lawson*\javone-lawson-1,Louisiana,Sun Belt,13,63,1092,17.3,8,3,3,1.0,0,66,1095,16.6,8
19,Rueben Randle*\rueben-randle-1,LSU,SEC,14,53,917,17.3,8,,,,,53,917,17.3,8
20,Christian Green*\christian-green-1,Florida State,ACC,13,26,450,17.3,0,2,11,5.5,0,28,461,16.5,0
21,Tevin Reese*\tevin-reese-1,Baylor,Big 12,13,51,877,17.2,7,5,102,20.4,0,56,979,17.5,7
22,Deon Long\deon-long-1,New Mexico,MWC,10,47,809,17.2,4,7,11,1.6,0,54,820,15.2,4
23,Tim Smith*\tim-smith-1,Virginia,ACC,13,33,565,17.1,3,,,,,33,565,17.1,3
24,Jared Abbrederis*\jared-abbrederis-1,Wisconsin,Big Ten,14,55,933,17.0,8,11,62,5.6,0,66,995,15.1,8
25,Emory Blake*\emory-blake-1,Auburn,SEC,11,36,613,17.0,5,,,,,36,613,17.0,5
26,Marcus Davis*\marcus-davis-1,Virginia Tech,ACC,14,30,510,17.0,5,2,-5,-2.5,0,32,505,15.8,5
27,Marquess Wilson\marquess-wilson-1,Washington State,Pac-12,12,82,1388,16.9,12,3,10,3.3,0,85,1398,16.4,12
28,Jarius Wright*\jarius-wright-1,Arkansas,SEC,12,66,1117,16.9,12,,,,,66,1117,16.9,12
29,Colin Lockett*\colin-lockett-1,San Diego State,MWC,13,58,970,16.7,8,7,96,13.7,0,65,1066,16.4,8
30,B.J. Cunningham*\bj-cunningham-1,Michigan State,Big Ten,14,79,1306,16.5,12,3,26,8.7,0,82,1332,16.2,12
31,T.J. Graham*\tj-graham-1,North Carolina State,ACC,13,46,757,16.5,7,2,-5,-2.5,0,48,752,15.7,7
32,Josh Boyce*\josh-boyce-1,Texas Christian,MWC,13,61,998,16.4,9,1,1,1.0,0,62,999,16.1,9
33,Derek Moye*\derek-moye-1,Penn State,Big Ten,11,40,654,16.4,3,2,8,4.0,0,42,662,15.8,3
34,Terrance Williams*\terrance-williams-2,Baylor,Big 12,13,59,957,16.2,11,,,,,59,957,16.2,11
