Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
1,2019,1,21,Darnell Savage\SavaDa00,S,22,GNB,2019,2019,0,0,1,5,14,14,2,,Maryland,College Stats
2,2019,1,27,Johnathan Abram\AbraJo01,S,22,OAK,2019,2019,0,0,0,0,1,1,,,Mississippi St.,College Stats
3,2019,1,30,Deandre Baker\BakeDe00,CB,22,NYG,2019,2019,0,0,1,5,16,15,,,Georgia,College Stats
4,2019,2,33,Byron Murphy\MurpBy00,CB,21,ARI,2019,2019,0,0,1,5,16,16,1,,Washington,College Stats
5,2019,2,34,Rock Ya-Sin\Ya-SRo00,CB,23,IND,2019,2019,0,0,0,5,15,13,1,,Temple,College Stats
6,2019,2,39,Sean Murphy-Bunting\BuntSe00,CB,22,TAM,2019,2019,0,0,0,5,16,10,3,1.0,Central Michigan,College Stats
7,2019,2,40,Trayvon Mullen\MullTr00,CB,21,OAK,2019,2019,0,0,1,3,16,10,1,,Clemson,College Stats
8,2019,2,45,Joejuan Williams\WillJo13,CB,21,NWE,2019,2019,0,0,0,1,9,0,,,Vanderbilt,College Stats
9,2019,2,46,Greedy Williams\WillGr00,CB,21,CLE,2019,2019,0,0,1,4,12,12,,,LSU,College Stats
10,2019,2,47,Marquise Blair\BlaiMa01,S,22,SEA,2019,2019,0,0,0,2,14,3,,,Utah,College Stats
11,2019,2,54,Lonnie Johnson\JohnLo01,CB,22,HOU,2019,2019,0,0,0,3,14,7,,,Kentucky,College Stats
12,2019,2,60,Nasir Adderley\AddeNa00,S,22,LAC,2019,2019,0,0,0,0,4,0,,,Delaware,
13,2019,2,61,Taylor Rapp\RappTa00,S,21,LAR,2019,2019,0,0,1,5,15,10,2,,Washington,College Stats
14,2019,2,63,Juan Thornhill\ThorJu00,S,23,KAN,2019,2019,0,0,1,6,16,16,3,,Virginia,College Stats
15,2019,3,79,David Long\LongDa02,CB,21,LAR,2019,2019,0,0,0,0,8,0,,,Michigan,College Stats
16,2019,3,81,Will Harris\HarrWi02,S,23,DET,2019,2019,0,0,0,2,16,6,,1.0,Boston Col.,College Stats
17,2019,3,83,Justin Layne\LaynJu00,CB,21,PIT,2019,2019,0,0,0,1,10,0,,,Michigan St.,College Stats
18,2019,3,94,Jamel Dean\DeanJa00,CB,22,TAM,2019,2019,0,0,0,3,13,5,2,,Auburn,College Stats
19,2019,3,98,Quincy Williams\WillQu01,S,23,JAX,2019,2019,0,0,1,3,11,8,,,Murray St.,
20,2019,3,99,Mike Edwards\EdwaMi01,S,23,TAM,2019,2019,0,0,0,3,15,7,,1.0,Kentucky,College Stats
21,2019,4,105,Chauncey Gardner-Johnson\GardCh00,S,21,NOR,2019,2019,0,0,0,3,16,7,1,,Florida,College Stats
22,2019,4,108,Julian Love\LoveJu00,CB,21,NYG,2019,2019,0,0,0,2,15,5,1,,Notre Dame,College Stats
23,2019,4,109,Khari Willis\WillKh00,S,23,IND,2019,2019,0,0,0,3,14,9,,,Michigan St.,College Stats
24,2019,4,111,Kendall Sheffield\ShefKe00,CB,23,ATL,2019,2019,0,0,0,4,16,11,,,Ohio St.,College Stats
25,2019,4,116,Amani Hooker\HookAm00,S,21,TEN,2019,2019,0,0,0,1,16,0,,,Iowa,College Stats
