Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,College/Univ,
1,2019,1,11,Jonah Williams\WillJo10,G,21,CIN,,,0,0,0,,,,Alabama,College Stats
2,2019,1,14,Chris Lindstrom\LindCh00,G,22,ATL,2019,2019,0,0,0,2,5,5,Boston Col.,College Stats
3,2019,3,78,Michael Deiter\DeitMi00,G,23,MIA,2019,2019,0,0,1,6,16,15,Wisconsin,College Stats
4,2019,3,82,Nate Davis\DaviNa01,G,22,TEN,2019,2019,0,0,1,6,13,12,Charlotte,College Stats
5,2019,3,90,Connor McGovern\McGoCo01,G,21,DAL,,,0,0,0,,,,Penn St.,College Stats
6,2019,4,114,Dru Samia\SamiDr00,G,22,MIN,2019,2019,0,0,0,0,2,0,Oklahoma,College Stats
7,2019,4,118,Hjalte Froholdt\FrohHj00,G,23,NWE,,,0,0,0,,,,Arkansas,College Stats
8,2019,4,123,Ben Powers\PoweBe00,G,22,BAL,2019,2019,0,0,0,0,1,0,Oklahoma,College Stats
9,2019,4,124,Phil Haynes\HaynPh00,G,23,SEA,,,0,0,0,,,,Wake Forest,College Stats
10,2019,4,131,Wes Martin\MartWe00,G,23,WAS,2019,2019,0,0,0,2,9,5,Indiana,College Stats
11,2019,4,136,Michael Jordan\JordMi01,G,21,CIN,2019,2019,0,0,1,4,13,9,Ohio St.,College Stats
12,2019,5,153,Ross Pierschbacher\PierRo00,G,24,WAS,2019,2019,0,0,0,0,5,0,Alabama,College Stats
13,2019,7,216,Nick Allegretti\AlleNi00,G,23,KAN,2019,2019,0,0,0,1,7,0,Illinois,College Stats
14,2018,1,6,Quenton Nelson\NelsQu00,G,22,IND,2018,2019,2,2,2,27,32,32,Notre Dame,College Stats
15,2018,2,34,Will Hernandez\HernWi00,G,23,NYG,2018,2019,0,0,2,14,32,32,Texas-El Paso,College Stats
16,2018,2,37,Braden Smith\SmitBr06,G,22,IND,2018,2019,0,0,2,13,31,29,Auburn,College Stats
17,2018,5,138,Cole Madison\MadiCo01,G,23,GNB,,,0,0,0,,,,Washington St.,College Stats
18,2018,5,166,Wyatt Teller\TellWy00,G,23,BUF,2018,2019,0,0,1,6,23,16,Virginia Tech,College Stats
19,2018,6,183,Sam Jones\JoneSa00,G,22,DEN,2018,2018,0,0,0,0,5,0,Arizona St.,College Stats
20,2018,6,213,Colby Gossett\GossCo00,G,23,MIN,2018,2018,0,0,0,1,5,4,Appalachian St.,College Stats
21,2018,7,252,Rod Taylor\TaylRo01,G,23,CIN,,,0,0,0,,,,Mississippi,College Stats
22,2017,2,38,Forrest Lamp\LampFo00,G,23,LAC,2018,2019,0,0,0,1,9,2,Western Kentucky,College Stats
23,2017,2,63,Dion Dawkins\DawkDi00,G,23,BUF,2017,2019,0,0,3,18,48,43,Temple,College Stats
24,2017,2,64,Taylor Moton\MotoTa00,G,23,CAR,2017,2019,0,0,2,18,48,32,West. Michigan,College Stats
25,2017,3,71,Dan Feeney\FeenDa00,G,23,LAC,2017,2019,0,0,3,20,47,41,Indiana,College Stats
26,2017,4,115,Dorian Johnson\JohnDo03,G,22,ARI,,,0,0,0,,,,Pittsburgh,College Stats
27,2017,4,122,Nico Siragusa\SiraNi00,G,23,BAL,,,0,0,0,,,,San Diego St.,College Stats
28,2017,4,136,Sean Harlow\HarlSe00,G,22,ATL,2019,2019,0,0,0,0,1,0,Oregon St.,College Stats
29,2017,5,147,Jordan Morgan\MorgJo02,G,23,CHI,,,0,0,0,,,,Kutztown Pennsylvania,
30,2017,5,159,Jermaine Eluemunor\ElueJe00,G,22,BAL,2017,2019,0,0,0,4,27,3,Texas A&M,College Stats
31,2017,5,164,Isaac Asiata\AsiaIs00,G,24,MIA,2017,2018,0,0,0,0,2,0,Utah,College Stats
