Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Int,Sk,College/Univ,
1,2019,1,5,Devin White\WhitDe02,LB,21,TAM,2019,2019,0,0,1,8,13,13,1,2.5,LSU,College Stats
2,2019,1,7,Josh Allen\AlleJo03,LB,22,JAX,2019,2019,0,1,0,6,16,4,,10.5,Kentucky,College Stats
3,2019,1,10,Devin Bush\BushDe01,LB,21,PIT,2019,2019,0,0,0,9,16,15,2,1.0,Michigan,College Stats
4,2019,1,12,Rashan Gary\GaryRa00,LB,21,GNB,2019,2019,0,0,0,2,16,0,,2.0,Michigan,College Stats
5,2019,2,43,Jahlani Tavai\TavaJa00,LB,22,DET,2019,2019,0,0,0,4,15,6,1,2.0,Hawaii,College Stats
6,2019,2,49,Ben Banogu\BanoBe00,LB,23,IND,2019,2019,0,0,0,1,16,0,,2.5,TCU,College Stats
7,2019,3,68,Jachai Polite\PoliJa00,LB,21,NYJ,,,0,0,0,,,,,,Florida,College Stats
8,2019,3,72,Germaine Pratt\PratGe00,LB,23,CIN,2019,2019,0,0,1,5,16,9,,,North Carolina St.,College Stats
9,2019,3,80,Sione Takitaki\TakiSi00,LB,24,CLE,2019,2019,0,0,0,2,15,1,,,BYU,College Stats
10,2019,3,88,Cody Barton\BartCo00,LB,22,SEA,2019,2019,0,0,0,2,16,2,,,Utah,College Stats
11,2019,3,89,Bobby Okereke\OkerBo00,LB,23,IND,2019,2019,0,0,1,4,16,8,,1.0,Stanford,College Stats
12,2019,4,115,Christian Miller\MillCh04,LB,23,CAR,2019,2019,0,0,0,1,7,0,,2.0,Alabama,College Stats
13,2019,4,130,Drue Tranquill\TranDr00,LB,24,LAC,2019,2019,0,0,0,3,15,3,,,Notre Dame,College Stats
14,2019,5,142,Ben Burr-Kirven\BurrBe00,LB,21,SEA,2019,2019,0,0,0,1,16,0,,,Washington,College Stats
15,2019,5,143,Ryan Connelly\ConnRy00,LB,23,NYG,2019,2019,0,0,0,2,4,3,2,1.0,Wisconsin,College Stats
16,2019,5,147,Vosean Joseph\JoseVo00,LB,21,BUF,,,0,0,0,,,,,,Florida,College Stats
17,2019,5,148,Dre Greenlaw\GreeDr00,LB,22,SFO,2019,2019,0,0,1,6,16,11,1,1.0,Arkansas,College Stats
18,2019,5,151,Andrew Van Ginkel\VanGAn00,LB,24,MIA,2019,2019,0,0,0,1,6,1,,1.0,Wisconsin,College Stats
19,2019,5,155,Mack Wilson\WilsMa03,LB,21,CLE,2019,2019,0,0,1,7,16,14,1,1.0,Alabama,College Stats
20,2019,5,156,Justin Hollins\HollJu00,LB,23,DEN,2019,2019,0,0,0,1,15,0,,1.0,Oregon,College Stats
21,2019,5,157,Blake Cashman\CashBl00,LB,23,NYJ,2019,2019,0,0,0,3,7,5,,0.5,Minnesota,College Stats
22,2019,5,162,Cameron Smith\SmitCa01,LB,22,MIN,2019,2019,0,0,0,0,5,0,,,USC,College Stats
23,2019,5,164,E.J. Speed\SpeeEJ00,LB,24,IND,2019,2019,0,0,0,1,12,0,,,Tarleton St.,
24,2019,5,168,D'Andre Walker\WalkDA02,LB,22,TEN,,,0,0,0,,,,,,Georgia,College Stats
25,2019,5,173,Cole Holcomb\HolcCo00,LB,23,WAS,2019,2019,0,0,1,6,16,15,,1.0,North Carolina,College Stats
26,2019,6,188,David Long\LongDa04,LB,20,TEN,2019,2019,0,0,0,1,14,0,,,West Virginia,College Stats
27,2019,6,200,Emeke Egbule\EgbuEm00,LB,22,LAC,2019,2019,0,0,0,1,15,0,,,Houston,College Stats
28,2019,6,207,Ulysees Gilbert\GilbUl00,LB,22,PIT,2019,2019,0,0,0,1,7,0,,,Akron,College Stats
29,2019,6,210,Deshaun Davis\DaviDe01,LB,23,CIN,,,0,0,0,,,,,,Auburn,College Stats
30,2019,7,226,Ty Summers\SummTy00,LB,23,GNB,2019,2019,0,0,0,1,16,0,,,TCU,College Stats
31,2019,7,244,Kaden Elliss\ElliKa00,LB,24,NOR,2019,2019,0,0,0,0,3,0,,,Idaho,College Stats
32,2019,7,251,Dakota Allen\AlleDa01,LB,23,LAR,2019,2019,0,0,0,0,5,0,,,Texas Tech,College Stats
33,2018,1,8,Roquan Smith\SmitRo07,ILB,21,CHI,2018,2019,0,0,2,16,28,26,2,7.0,Georgia,College Stats
34,2018,1,16,Tremaine Edmunds\EdmuTr01,ILB,20,BUF,2018,2019,0,1,2,23,31,31,3,3.5,Virginia Tech,College Stats
35,2018,1,19,Leighton Vander Esch\VandLe00,OLB,22,DAL,2018,2019,0,1,2,16,25,20,2,0.5,Boise St.,College Stats
36,2018,1,22,Rashaan Evans\EvanRa01,ILB,22,TEN,2018,2019,0,0,1,14,31,23,,2.5,Alabama,College Stats
37,2018,2,36,Darius Leonard\LeonDa00,LB,23,IND,2018,2019,1,1,2,29,28,28,7,12.0,South Carolina St.,
38,2018,2,41,Harold Landry\LandHa00,OLB,22,TEN,2018,2019,0,0,1,12,31,19,1,13.5,Boston Col.,College Stats
39,2018,2,48,Uchenna Nwosu\NwosUc00,OLB,21,LAC,2018,2019,0,0,0,6,32,6,,5.5,USC,College Stats
40,2018,2,52,Kemoko Turay\TuraKe00,OLB,23,IND,2018,2019,0,0,0,3,18,3,,5.5,Rutgers,College Stats
41,2018,3,70,Fred Warner\WarnFr00,OLB,21,SFO,2018,2019,0,0,2,16,32,32,1,3.0,BYU,College Stats
42,2018,3,73,Jerome Baker\BakeJe00,OLB,21,MIA,2018,2019,0,0,2,12,32,26,2,4.5,Ohio St.,College Stats
43,2018,3,78,Malik Jefferson\JeffMa00,OLB,21,CIN,2018,2019,0,0,0,2,21,0,,,Texas,College Stats
44,2018,3,88,Oren Burks\BurkOr00,ILB,23,GNB,2018,2019,0,0,0,4,26,4,,,Vanderbilt,College Stats
45,2018,3,100,Dorian O'Daniel\ODanDo00,OLB,24,KAN,2018,2019,0,0,0,3,30,1,,,Clemson,College Stats
46,2018,4,106,Josey Jewell\JeweJo00,ILB,23,DEN,2018,2019,0,0,1,8,31,12,,1.5,Iowa,College Stats
47,2018,4,115,Joel Iyiegbuniwe\IyieJo00,LB,22,CHI,2018,2019,0,0,0,2,31,0,,,Western Kentucky,College Stats
48,2018,4,122,Kenny Young\YounKe03,LB,23,BAL,2018,2019,0,0,0,7,30,6,,2.5,UCLA,College Stats
49,2018,4,136,Marquis Haynes\HaynMa01,OLB,24,CAR,2018,2019,0,0,0,1,15,0,,1.0,Mississippi,College Stats
50,2018,5,141,Shaquem Griffin\GrifSh01,OLB,23,SEA,2018,2019,0,0,0,3,32,1,,,Central Florida,College Stats
51,2018,5,143,Ja'Whaun Bentley\BentJa00,ILB,22,NWE,2018,2019,0,0,0,6,19,4,1,,Purdue,College Stats
52,2018,5,147,Micah Kiser\KiseMi00,ILB,23,LAR,2018,2018,0,0,0,1,16,0,,,Virginia,College Stats
53,2018,5,150,Genard Avery\AverGe00,LB,23,CLE,2018,2019,0,0,1,5,26,5,,5.0,Memphis,College Stats
54,2018,5,161,Jermaine Carter\CartJe00,LB,23,CAR,2018,2019,0,0,1,4,32,6,,0.5,Maryland,College Stats
55,2018,6,178,Christian Sam\SamxCh00,ILB,22,NWE,,,0,0,0,,,,,,Arizona St.,College Stats
56,2018,6,186,Jacob Martin\MartJa02,LB,22,SEA,2018,2019,0,0,0,3,30,0,,6.5,Temple,College Stats
57,2018,6,193,Chris Covington\CoviCh01,LB,22,DAL,2018,2019,0,0,0,0,8,0,,,Indiana,College Stats
58,2018,6,197,Shaun Dion Hamilton\DionSh00,LB,22,WAS,2018,2019,0,0,0,5,32,4,1,2.5,Alabama,College Stats
59,2018,6,202,Jack Cichy\CichJa00,ILB,22,TAM,2018,2019,0,0,0,0,10,0,,,Wisconsin,College Stats
60,2018,6,214,Peter Kalambayi\KalaPe00,LB,23,HOU,2018,2019,0,0,0,2,31,0,,,Stanford,College Stats
61,2018,6,216,Azeem Victor\VictAz00,LB,22,OAK,,,0,0,0,,,,,,Washington,College Stats
62,2018,6,217,Keishawn Bierria\BierKe00,ILB,23,DEN,2018,2019,0,0,0,1,21,0,,,Washington,College Stats
63,2018,7,221,Matthew Adams\AdamMa00,LB,22,IND,2018,2019,0,0,1,6,32,9,,,Houston,College Stats
64,2018,7,225,Devante Downs\DownDe00,LB,22,MIN,2018,2019,0,0,0,1,20,0,,,California,College Stats
65,2018,7,227,Quentin Poling\PoliQu00,LB,24,MIA,2019,2019,0,0,0,0,1,0,,,Ohio,College Stats
66,2018,7,230,Leon Jacobs\JacoLe00,OLB,22,JAX,2018,2019,0,0,1,8,26,10,,2.0,Wisconsin,College Stats
67,2018,7,231,Travin Howard\HowaTr00,OLB,22,LAR,2019,2019,0,0,0,1,16,0,,,TCU,College Stats
68,2018,7,234,Andre Smith\SmitAn04,ILB,21,CAR,2018,2019,0,0,0,1,19,0,,,North Carolina,College Stats
69,2018,7,235,Zaire Franklin\FranZa00,LB,22,IND,2018,2019,0,0,0,3,32,2,,,Syracuse,College Stats
70,2018,7,248,Kendall Donnerson\DonnKe00,OLB,22,GNB,,,0,0,0,,,,,,SE Missouri St.,
71,2017,1,13,Haason Reddick\ReddHa00,LB,22,ARI,2017,2019,0,0,1,12,48,20,,7.5,Temple,College Stats
72,2017,1,21,Jarrad Davis\DaviJa01,LB,21,DET,2017,2019,0,0,3,20,41,41,1,10.0,Florida,College Stats
73,2017,1,22,Charles Harris\HarrCh03,OLB,22,MIA,2017,2019,0,0,0,7,41,8,,3.5,Missouri,College Stats
74,2017,1,30,T.J. Watt\WattT.00,OLB,22,PIT,2017,2019,1,2,3,31,47,47,3,34.5,Wisconsin,College Stats
75,2017,1,31,Reuben Foster\FostRe00,LB,23,SFO,2017,2018,0,0,2,8,16,16,,,Alabama,College Stats
76,2017,2,47,Tyus Bowser\BowsTy00,OLB,22,BAL,2017,2019,0,0,0,6,47,0,1,8.5,Houston,College Stats
77,2017,2,49,Ryan Anderson\AndeRy00,OLB,23,WAS,2017,2019,0,0,0,5,43,4,,6.0,Alabama,College Stats
78,2017,2,54,Raekwon McMillan\McMiRa02,LB,21,MIA,2018,2019,0,0,2,11,29,28,,,Ohio St.,College Stats
79,2017,2,57,Zach Cunningham\CunnZa00,LB,22,HOU,2017,2019,0,0,3,21,46,43,1,3.5,Vanderbilt,College Stats
80,2017,3,73,Jordan Willis\WillJo09,OLB,22,CIN,2017,2019,0,0,0,5,41,2,,3.0,Kansas St.,College Stats
81,2017,3,75,Duke Riley\RileDu00,LB,23,ATL,2017,2019,0,0,1,8,44,16,,,LSU,College Stats
82,2017,3,76,Alex Anzalone\AnzaAl00,LB,22,NOR,2017,2019,0,0,0,6,22,11,1,4.0,Florida,College Stats
83,2017,3,78,Tim Williams\WillTi00,OLB,23,BAL,2017,2019,0,0,0,2,20,0,,2.0,Alabama,College Stats
84,2017,3,103,Trey Hendrickson\HendTr00,OLB,22,NOR,2017,2019,0,0,0,4,30,3,,6.5,Florida Atlantic,College Stats
85,2017,3,107,Kendell Beckwith\BeckKe00,ILB,22,TAM,2017,2017,0,0,0,5,16,11,,1.0,LSU,College Stats
