Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,Att,Yds,TD,Rec,Yds,TD,College/Univ,
1,2019,1,24,Josh Jacobs\JacoJo01,RB,21,OAK,2019,2019,0,0,1,8,13,13,242,1150,7,20,166,0,Alabama,College Stats
2,2019,2,53,Miles Sanders\SandMi01,RB,22,PHI,2019,2019,0,0,1,9,16,11,179,818,3,50,509,3,Penn St.,College Stats
3,2019,3,70,Darrell Henderson\HendDa00,RB,22,LAR,2019,2019,0,0,0,1,13,0,39,147,0,4,37,0,Memphis,College Stats
4,2019,3,73,David Montgomery\MontDa01,RB,22,CHI,2019,2019,0,0,0,5,16,8,242,889,6,25,185,1,Iowa St.,College Stats
5,2019,3,74,Devin Singletary\SingDe00,RB,22,BUF,2019,2019,0,0,1,6,12,8,151,775,2,29,194,2,Florida Atlantic,College Stats
6,2019,3,87,Damien Harris\HarrDa06,RB,22,NWE,2019,2019,0,0,0,0,2,0,4,12,0,,,,Alabama,College Stats
7,2019,3,102,Alexander Mattison\MattAl01,RB,21,MIN,2019,2019,0,0,0,4,13,0,100,462,1,10,82,0,Boise St.,College Stats
8,2019,4,112,Bryce Love\LoveBr00,RB,22,WAS,,,0,0,0,,,,,,,,,,Stanford,College Stats
9,2019,4,113,Justice Hill\HillJu00,RB,21,BAL,2019,2019,0,0,0,3,16,0,58,225,2,8,70,0,Oklahoma St.,College Stats
10,2019,4,122,Benny Snell\SnelBe00,RB,21,PIT,2019,2019,0,0,0,3,13,2,108,426,2,3,23,0,Kentucky,College Stats
11,2019,4,128,Tony Pollard\PollTo00,RB,22,DAL,2019,2019,0,0,0,4,15,0,86,455,2,15,107,1,Memphis,College Stats
12,2019,5,140,Ryquell Armstead\ArmsRy00,RB,22,JAX,2019,2019,0,0,0,2,16,1,35,108,0,14,144,2,Temple,College Stats
13,2019,5,152,Qadree Ollison\OlliQa00,RB,22,ATL,2019,2019,0,0,0,0,8,0,22,50,4,1,7,0,Pittsburgh,College Stats
14,2019,5,154,Jordan Scarlett\ScarJo00,RB,23,CAR,2019,2019,0,0,0,0,9,0,4,9,0,,,,Florida,College Stats
15,2019,6,182,Trayveon Williams\WillTr06,RB,21,CIN,2019,2019,0,0,0,0,11,0,,,,,,,Texas A&M,College Stats
16,2019,6,186,Ty Johnson\JohnTy02,RB,21,DET,2019,2019,0,0,0,2,16,1,63,273,0,24,109,0,Maryland,College Stats
17,2019,6,194,Dexter Williams\WillDe07,RB,22,GNB,2019,2019,0,0,0,0,4,0,5,11,0,,,,Notre Dame,College Stats
18,2019,6,204,Travis Homer\HomeTr00,RB,21,SEA,2019,2019,0,0,0,1,16,1,18,114,0,11,56,0,Miami (FL),College Stats
19,2019,6,211,Rodney Anderson\AndeRo02,RB,22,CIN,,,0,0,0,,,,,,,,,,Oklahoma,College Stats
20,2019,6,214,Darwin Thompson\ThomDa06,RB,23,KAN,2019,2019,0,0,0,1,12,0,37,128,1,9,43,0,Utah St.,College Stats
21,2019,7,218,Mike Weber\WebeMi00,RB,22,DAL,,,0,0,0,,,,,,,,,,Ohio St.,College Stats
22,2019,7,220,Cullen Gillaspia\GillCu00,RB,24,HOU,2019,2019,0,0,0,0,16,0,,,,,,,Texas A&M,College Stats
23,2019,7,222,Kerrith Whyte\WhytKe00,RB,22,CHI,2019,2019,0,0,0,1,6,0,24,122,0,1,9,0,Florida Atlantic,College Stats
24,2019,7,233,Chandler Cox\CoxxCh01,RB,23,MIA,2019,2019,0,0,0,0,13,3,,,,,,,Auburn,College Stats
25,2019,7,234,Myles Gaskin\GaskMy00,RB,22,MIA,2019,2019,0,0,0,1,7,0,36,133,1,7,51,0,Washington,College Stats
26,2018,1,2,Saquon Barkley\BarkSa00,RB,21,NYG,2018,2019,0,1,2,23,29,29,478,2310,17,143,1159,6,Penn St.,College Stats
27,2018,1,27,Rashaad Penny\PennRa00,RB,22,SEA,2018,2019,0,0,0,7,24,0,150,789,5,17,158,1,San Diego St.,College Stats
28,2018,1,31,Sony Michel\MichSo00,RB,23,NWE,2018,2019,0,0,2,12,29,22,456,1843,13,19,144,0,Georgia,College Stats
29,2018,2,35,Nick Chubb\ChubNi00,RB,22,CLE,2018,2019,0,1,2,18,32,25,490,2490,16,56,427,2,Georgia,College Stats
30,2018,2,38,Ronald Jones\JoneRo01,RB,21,TAM,2018,2019,0,0,1,7,25,9,195,768,7,38,342,0,USC,College Stats
31,2018,2,43,Kerryon Johnson\JohnKe06,RB,21,DET,2018,2019,0,0,1,8,18,14,231,1044,6,42,340,2,Auburn,College Stats
32,2018,2,59,Derrius Guice\GuicDe00,RB,21,WAS,2019,2019,0,0,0,2,5,1,42,245,2,7,79,1,LSU,College Stats
33,2018,3,71,Royce Freeman\FreeRo00,RB,22,DEN,2018,2019,0,0,0,8,30,8,262,1017,8,57,328,1,Oregon,College Stats
34,2018,4,104,Nyheim Hines\HineNy00,RB,21,IND,2018,2019,0,0,0,12,32,6,137,513,4,107,745,2,North Carolina St.,College Stats
35,2018,4,112,Mark Walton\WaltMa00,RB,21,CIN,2018,2019,0,0,0,3,21,4,67,235,0,20,130,0,Miami (FL),College Stats
36,2018,4,126,Ito Smith\SmitIt00,RB,22,ATL,2018,2019,0,0,0,4,21,0,112,421,5,38,239,0,Southern Miss,College Stats
37,2018,4,131,Kalen Ballage\BallKa00,RB,22,MIA,2018,2019,0,0,1,3,24,6,110,326,4,23,119,0,Arizona St.,College Stats
38,2018,4,134,Chase Edmonds\EdmoCh00,RB,22,ARI,2018,2019,0,0,0,5,29,2,120,511,6,32,208,1,Fordham,
39,2018,5,169,Jordan Wilkins\WilkJo01,RB,24,IND,2018,2019,0,0,0,5,30,4,111,643,3,23,128,0,Mississippi,College Stats
40,2018,6,176,John Kelly\KellJo00,RB,21,LAR,2018,2019,0,0,0,1,8,0,30,83,0,2,27,0,Tennessee,College Stats
41,2018,6,201,Boston Scott\ScotBo02,RB,23,NOR,2018,2019,0,0,0,3,13,2,61,245,5,24,204,0,Louisiana Tech,College Stats
42,2018,6,204,Trenton Cannon\CannTr00,RB,24,NYJ,2018,2019,0,0,0,2,20,0,38,113,1,17,144,0,Virginia St.,
43,2018,7,226,David Williams\WillDa010,RB,24,DEN,,,0,0,0,,,,,,,,,,Arkansas,College Stats
44,2018,7,236,Bo Scarbrough\ScarBo01,RB,21,DAL,2019,2019,0,0,0,2,6,5,89,377,1,1,5,0,Alabama,College Stats
45,2018,7,237,Nick Bawden\BawdNi00,RB,22,DET,2019,2019,0,0,0,0,10,2,,,,4,17,0,San Diego St.,College Stats
46,2018,7,251,Justin Jackson\JackJu01,RB,23,LAC,2018,2019,0,0,0,4,20,1,79,406,2,24,157,0,Northwestern,College Stats
47,2017,1,4,Leonard Fournette\FourLe00,RB,22,JAX,2017,2019,0,0,3,20,36,36,666,2631,17,134,1009,2,LSU,College Stats
48,2017,1,8,Christian McCaffrey\McCaCh01,RB,21,CAR,2017,2019,1,1,3,38,48,42,623,2920,24,303,2523,15,Stanford,College Stats
