PICK,TEAM,PLAYER,POSITION,AGE,SCHOOL,TOTAL,BONUS,CAP
1,CIN,Joe Burrow,QB,23,Louisiana State,"$36,190,097","$23,880,071","$6,580,018"
2,WAS,Chase Young,DE,21,Ohio State,"$34,563,557","$22,697,132","$6,284,283"
3,DET,Jeff Okudah,CB,21,Ohio State,"$33,528,505","$21,944,367","$6,096,092"
4,NYG,Andrew Thomas,T,21,Georgia,"$32,345,554","$21,084,039","$5,881,010"
5,MIA,Tua Tagovailoa,QB,22,Alabama,"$30,275,406","$19,578,477","$5,504,619"
6,LAC,Justin Herbert,QB,22,Oregon,"$26,578,726","$16,889,982","$4,832,496"
7,CAR,Derrick Brown,DT,22,Auburn,"$23,621,380","$14,739,185","$4,294,796"
8,ARI,Isaiah Simmons,LB,21,Clemson,"$20,664,034","$12,588,388","$3,757,097"
9,JAC,C.J. Henderson,CB,21,Florida,"$20,515,999","$12,480,726","$3,730,182"
10,CLE,Jedrick Wills,T,20,Alabama,"$19,702,891","$11,889,376","$3,582,344"
11,NYJ,Mekhi Becton,T,21,Louisville,"$18,446,027","$10,975,292","$3,353,823"
12,LVR,Henry Ruggs,WR,21,Alabama,"$16,671,609","$9,684,807","$3,031,202"
13,"TB  from IND 
via SF",Tristan Wirfs,T,21,Iowa,"$16,228,011","$9,362,190","$2,950,547"
14,SF  from TB,Javon Kinlaw,DT,22,South Carolina,"$15,488,677","$8,824,492","$2,816,123"
15,DEN,Jerry Jeudy,WR,20,Alabama,"$15,192,959","$8,609,425","$2,762,356"
16,ATL,A.J. Terrell,CB,21,Clemson,"$14,305,735","$7,964,171","$2,601,043"
17,DAL,CeeDee Lamb,WR,21,Oklahoma,"$14,009,999","$7,749,090","$2,547,273"
18,MIA  from PIT,Austin Jackson,T,20,Southern California,"$13,640,337","$7,480,245","$2,480,061"
19,LVR  from CHI,Damon Arnette,CB,20,Ohio State,"$13,418,528","$7,318,930","$2,439,732"
20,JAC  from LAR,K’Lavon Chaisson,OLB,20,Louisiana State,"$13,344,601","$7,265,164","$2,426,291"
21,PHI,Jalen Reagor,WR,21,Texas Christian,"$13,270,665","$7,211,393","$2,412,848"
22,MIN  from BUF,Justin Jefferson,WR,20,Louisiana State,"$13,122,793","$7,103,849","$2,385,962"
23,LAC  from NE,Kenneth Murray,LB,21,Oklahoma,"$12,974,929","$6,996,312","$2,359,078"
