Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,College/Univ,
1,2019,1,22,Andre Dillard\DillAn00,T,23,PHI,2019,2019,0,0,0,3,16,4,Washington St.,College Stats
2,2019,1,23,Tytus Howard\HowaTy00,T,23,HOU,2019,2019,0,0,1,5,8,8,Alabama St.,
3,2019,1,31,Kaleb McGary\McGaKa00,T,24,ATL,2019,2019,0,0,1,9,16,16,Washington,College Stats
4,2019,2,35,Jawaan Taylor\TaylJa02,T,21,JAX,2019,2019,0,0,1,8,16,16,Florida,College Stats
5,2019,2,37,Greg Little\LittGr01,T,21,CAR,2019,2019,0,0,0,1,4,3,Mississippi,College Stats
6,2019,2,38,Cody Ford\FordCo00,T,22,BUF,2019,2019,0,0,1,7,16,15,Oklahoma,College Stats
7,2019,2,41,Dalton Risner\RisnDa00,T,24,DEN,2019,2019,0,0,1,6,16,16,Kansas St.,College Stats
8,2019,2,55,Max Scharping\SchaMa01,T,23,HOU,2019,2019,0,0,1,8,16,14,Northern Illinois,College Stats
9,2019,3,91,Trey Pipkins\PipkTr00,T,23,LAC,2019,2019,0,0,0,2,13,3,Sioux Falls,
10,2019,3,92,Chuma Edoga\EdogCh00,T,22,NYJ,2019,2019,0,0,0,3,8,8,USC,College Stats
11,2019,3,97,Bobby Evans\EvanBo00,T,22,LAR,2019,2019,0,0,0,4,9,7,Oklahoma,College Stats
12,2019,3,101,Yodny Cajuste\CajuYo00,T,23,NWE,,,0,0,0,,,,West Virginia,College Stats
13,2019,5,169,David Edwards\EdwaDa01,T,22,LAR,2019,2019,0,0,0,6,16,10,Wisconsin,College Stats
14,2019,6,183,Justin Skule\SkulJu00,T,22,SFO,2019,2019,0,0,1,5,15,8,Vanderbilt,College Stats
15,2019,6,189,Drew Forbes\ForbDr00,T,22,CLE,2019,2019,0,0,0,0,2,0,SE Missouri St.,
16,2019,6,193,Oli Udoh\UdohOl00,T,22,MIN,,,0,0,0,,,,Elon,
17,2019,6,202,Isaiah Prince\PrinIs00,T,22,MIA,2019,2019,0,0,0,1,4,2,Ohio St.,College Stats
18,2019,6,212,Dennis Daley\DaleDe00,T,23,CAR,2019,2019,0,0,1,4,14,9,South Carolina,College Stats
19,2019,7,219,Derwin Gray\GrayDe01,T,24,PIT,,,0,0,0,,,,Maryland,College Stats
20,2019,7,232,George Asafo-Adjei\AsafGe00,T,22,NYG,,,0,0,0,,,,Kentucky,College Stats
21,2019,7,240,Jackson Barton\BartJa00,T,24,IND,,,0,0,0,,,,Utah,College Stats
22,2019,7,248,Joshua Miles\MileJo00,T,23,ARI,2019,2019,0,0,0,1,7,0,Morgan St.,
23,2018,1,9,Mike McGlinchey\McGlMi00,T,24,SFO,2018,2019,0,0,2,16,28,28,Notre Dame,College Stats
24,2018,1,15,Kolton Miller\MillKo00,T,22,OAK,2018,2019,0,0,2,15,32,32,UCLA,College Stats
25,2018,1,23,Isaiah Wynn\WynnIs00,T,21,NWE,2019,2019,0,0,1,4,8,8,Georgia,College Stats
26,2018,2,50,Connor Williams\WillCo00,T,21,DAL,2018,2019,0,0,2,9,24,21,Texas,College Stats
27,2018,2,62,Brian O'Neill\ONeiBr00,T,22,MIN,2018,2019,0,0,2,15,30,26,Pittsburgh,College Stats
28,2018,3,65,Brandon Parker\ParkBr01,T,22,OAK,2018,2019,0,0,1,7,26,15,North Carolina A&T,
29,2018,3,74,Geron Christian\ChriGe01,T,21,WAS,2018,2019,0,0,0,2,18,2,Louisville,College Stats
30,2018,3,80,Martinas Rankin\RankMa00,T,23,HOU,2018,2019,0,0,0,6,22,9,Mississippi St.,College Stats
31,2018,3,83,Orlando Brown\BrowOr00,T,22,BAL,2018,2019,0,1,2,20,32,26,Oklahoma,College Stats
32,2018,3,89,Joseph Noteboom\NoteJo00,T,23,LAR,2018,2019,0,0,0,5,22,6,TCU,College Stats
33,2018,3,92,Chukwuma Okorafor\OkorCh00,T,21,PIT,2018,2019,0,0,0,2,14,4,West. Michigan,College Stats
34,2018,3,94,Alex Cappa\CappAl00,T,23,TAM,2018,2019,0,0,1,6,19,13,Humboldt St.,
35,2018,4,127,Rick Leonard\LeonRi00,T,21,NOR,,,0,0,0,,,,Florida St.,College Stats
36,2018,4,129,Will Richardson\RichWi01,T,22,JAX,2019,2019,0,0,0,2,15,2,North Carolina St.,College Stats
37,2018,5,153,Tyrell Crosby\CrosTy00,T,23,DET,2018,2019,0,0,0,5,26,7,Oregon,College Stats
38,2018,5,168,Jamarco Jones\JoneJa08,T,22,SEA,2019,2019,0,0,0,3,15,3,Ohio St.,College Stats
39,2018,6,192,Jamil Demby\DembJa00,T,22,LAR,2019,2019,0,0,0,1,6,1,Maine,
40,2018,6,206,Matt Pryor\PryoMa00,T,23,PHI,2019,2019,0,0,0,1,12,0,TCU,College Stats
41,2018,6,212,Greg Senat\SenaGr00,T,23,BAL,,,0,0,0,,,,Wagner,
42,2018,7,233,Jordan Mailata\MailJo00,T,21,PHI,,,0,0,0,,,,,
43,2018,7,254,Korey Cunningham\CunnKo00,T,23,ARI,2018,2019,0,0,0,2,7,6,Cincinnati,College Stats
44,2017,1,20,Garett Bolles\BollGa00,T,25,DEN,2017,2019,0,0,3,21,48,48,Utah,College Stats
45,2017,1,32,Ryan Ramczyk\RamcRy00,T,23,NOR,2017,2019,1,0,3,39,47,47,Wisconsin,College Stats
46,2017,2,34,Cam Robinson\RobiCa00,T,21,JAX,2017,2019,0,0,2,16,32,31,Alabama,College Stats
47,2017,3,85,Antonio Garcia\GarcAn00,T,23,NWE,,,0,0,0,,,,Troy,College Stats
48,2017,4,129,David Sharpe\SharDa02,T,21,OAK,2017,2019,0,0,0,3,24,4,Florida,College Stats
49,2017,4,130,Julie'n Davenport\DaveJu00,T,22,HOU,2017,2019,0,0,2,14,35,27,Bucknell,
50,2017,4,137,Zach Banner\BannZa00,T,23,IND,2017,2019,0,0,0,1,22,1,USC,College Stats
51,2017,5,157,Will Holden\HoldWi00,T,23,ARI,2017,2018,0,0,0,3,11,7,Vanderbilt,College Stats
52,2017,5,160,Roderick Johnson\JohnRo06,T,21,CLE,2018,2019,0,0,0,3,17,3,Florida St.,College Stats
53,2017,6,190,Sam Tevi\TeviSa00,T,22,LAC,2017,2019,0,0,2,18,44,30,Utah,College Stats
54,2017,6,200,Adam Bisnowaty\BisnAd00,T,23,NYG,2017,2017,0,0,0,0,1,1,Pittsburgh,College Stats
55,2017,6,210,Justin Senior\SeniJu00,T,23,SEA,,,0,0,0,,,,Mississippi St.,College Stats
56,2017,6,211,Conor McDermott\McDeCo00,T,24,NWE,2017,2019,0,0,0,1,15,2,UCLA,College Stats
57,2017,7,231,Jylan Ware\WareJy00,T,23,OAK,2017,2017,0,0,0,0,1,0,Alabama St.,
58,2017,7,236,Brad Seaton\SeatBr00,T,23,TEN,,,0,0,0,,,,Villanova,
59,2016,1,6,Ronnie Stanley\StanRo00,T,22,BAL,2016,2019,1,1,4,39,56,56,Notre Dame,College Stats
60,2016,1,8,Jack Conklin\ConkJa00,T,22,TEN,2016,2019,1,0,4,34,57,57,Michigan St.,College Stats
61,2016,1,13,Laremy Tunsil\TunsLa00,T,22,MIA,2016,2019,0,1,4,28,58,58,Mississippi,College Stats
62,2016,1,16,Taylor Decker\DeckTa00,T,23,DET,2016,2019,0,0,4,28,55,55,Ohio St.,College Stats
63,2016,2,48,Jason Spriggs\SpriJa00,T,22,GNB,2016,2018,0,0,0,8,36,9,Indiana,College Stats
64,2016,3,76,Shon Coleman\ColeSh00,T,24,CLE,2016,2017,0,0,1,6,23,16,Auburn,College Stats
65,2016,3,82,Le'Raven Clark\ClarLe01,T,23,IND,2016,2018,0,0,0,7,35,12,Texas Tech,College Stats
66,2016,4,121,Willie Beavers\BeavWi00,T,22,MIN,2016,2016,0,0,0,0,2,0,West. Michigan,College Stats
67,2016,4,123,Jerald Hawkins\HawkJe00,T,22,PIT,2017,2019,0,0,0,1,6,1,LSU,College Stats
68,2016,4,130,Alex Lewis\LewiAl01,T,24,BAL,2016,2019,0,0,2,12,35,30,Nebraska,College Stats
69,2016,5,145,John Theus\TheuJo00,T,22,SFO,2016,2016,0,0,0,1,4,1,Georgia,College Stats
70,2016,5,148,Caleb Benenoch\BeneCa00,T,22,TAM,2016,2019,0,0,1,12,35,22,UCLA,College Stats
71,2016,5,155,Joe Haeg\HaegJo00,T,23,IND,2016,2019,0,0,2,18,55,35,North Dakota St.,
72,2016,5,158,Brandon Shell\ShelBr00,T,24,NYJ,2016,2019,0,0,3,16,49,40,South Carolina,College Stats
